Precinct Name,Voting District,Type,One Race,White,Black,Native American,Asian,Pacific Islander,Other,Two or more,Hispanic/Latino,18+,,,
Allegany Precinct 16-000,16-000,Adj,"2,993","2,084",870,8,26,1,4,72,138,"2,854",,,
Allegany Precinct 18-000,18-000,Adj,"1,961","1,943",0,6,10,1,1,70,24,"1,624",,,
Allegany Precinct 20-000,20-000,Adj,"1,820","1,804",8,0,4,0,4,52,25,"1,558",,,
Allegany Precinct 21-000,21-000,Adj,"1,093","1,078",6,1,4,1,3,22,7,912,,,
Allegany Precinct 22-001,22-001,Adj,"2,188","1,963",182,2,32,0,9,104,60,"1,988",,,
Allegany Precinct 22-002,22-002,Unadj,109,107,2,0,0,0,0,4,6,100,,,
Allegany Precinct 23-000,23-000,Adj,"2,440","2,214",187,7,29,1,2,217,89,"2,125",,,
Allegany Precinct 24-000,24-000,Adj,"1,713","1,683",13,2,15,0,0,37,16,"1,495",,,
Allegany Precinct 26-000,26-000,Adj,"3,683","2,913",590,15,128,0,37,135,94,"3,348",,,
Allegany Precinct 29-001,29-001,Adj,"2,140","2,067",36,2,30,4,1,78,23,"1,846",,,
Allegany Precinct 29-002,29-002,Adj,"1,863","1,789",22,0,50,1,1,81,26,"1,611",,,
Allegany Precinct 29-003,29-003,Adj,"1,456","1,394",26,0,33,2,1,45,24,"1,270",,,
Allegany Precinct 31-000,31-000,Unadj,"1,511","1,494",5,0,7,0,5,72,20,"1,287",,,
Allegany Precinct 34-000,34-000,Unadj,"1,531","1,507",12,2,6,0,4,44,7,"1,311",,,
Anne Arundel Precinct 01-001,01-001,Unadj,"2,201","1,803",190,12,183,7,6,104,117,"1,966",,,
Anne Arundel Precinct 01-002,01-002,Adj,"2,285","1,949",165,3,148,4,16,103,131,"2,021",,,
Anne Arundel Precinct 01-003,01-003,Adj,"2,602","2,053",389,12,128,1,19,163,398,"2,487",,,
Anne Arundel Precinct 01-004,01-004,Adj,"2,749","1,601",991,10,139,0,8,159,432,"2,570",,,
Anne Arundel Precinct 01-005,01-005,Unadj,"2,052","1,068",619,8,341,2,14,122,466,"2,050",,,
Anne Arundel Precinct 01-006,01-006,Adj,"3,040","1,344","1,273",9,389,1,24,282,407,"3,064",,,
Anne Arundel Precinct 01-007,01-007,Adj,"2,016","1,746",145,8,92,5,20,129,187,"1,847",,,
Anne Arundel Precinct 01-008,01-008,Adj,"2,691","2,258",276,9,126,3,19,170,234,"2,461",,,
Anne Arundel Precinct 01-009,01-009,Adj,"2,419","1,989",276,1,134,4,15,132,191,"2,194",,,
Anne Arundel Precinct 01-010,01-010,Adj,"1,607","1,477",54,3,61,4,8,62,66,"1,392",,,
Anne Arundel Precinct 01-011,01-011,Adj,"1,403","1,245",76,0,67,0,15,71,72,"1,202",,,
Anne Arundel Precinct 01-012,01-012,Adj,"4,660","1,803","2,376",25,422,10,24,306,857,"4,193",,,
Anne Arundel Precinct 01-013,01-013,Adj,"1,573","1,084",429,11,46,0,3,122,318,"1,471",,,
Anne Arundel Precinct 01-014,01-014,Adj,"2,379","1,858",417,12,72,2,18,165,433,"2,321",,,
Anne Arundel Precinct 01-015,01-015,Adj,"2,621","1,879",589,12,123,1,17,173,371,"2,460",,,
Anne Arundel Precinct 01-016,01-016,Adj,"2,829","1,894",726,21,157,2,29,250,678,"2,815",,,
Anne Arundel Precinct 01-017,01-017,Adj,"2,034","1,412",513,7,82,6,14,175,341,"1,865",,,
Anne Arundel Precinct 01-018,01-018,Adj,"3,607","2,103","1,294",3,188,4,15,234,426,"3,514",,,
Anne Arundel Precinct 01-019,01-019,Adj,"2,798","1,093","1,391",6,284,4,20,238,370,"2,598",,,
Anne Arundel Precinct 01-020,01-020,Adj,"2,533","1,194",958,3,355,9,14,200,349,"2,539",,,
Anne Arundel Precinct 01-021,01-021,Adj,"3,670",791,"2,543",7,302,0,27,281,317,"3,085",,,
Anne Arundel Precinct 01-022,01-022,Adj,"8,110","3,286","2,918",10,"1,825",11,60,556,"1,064","7,919",,,
Anne Arundel Precinct 01-023,01-023,Adj,"3,736","1,336","1,961",5,457,6,-29,251,415,"3,561",,,
Anne Arundel Precinct 01-024,01-024,Adj,"1,827",887,709,12,213,0,6,152,239,"1,662",,,
Anne Arundel Precinct 01-025,01-025,Adj,"1,620","1,130",338,4,138,0,10,141,281,"1,605",,,
Anne Arundel Precinct 01-026,01-026,Adj,"5,441","1,068","4,083",16,236,4,34,359,952,"4,538",,,
Anne Arundel Precinct 01-099,01-099,Unadj,0,0,0,0,0,0,0,0,0,0,,,
Anne Arundel Precinct 02-001,02-001,Adj,"2,185","1,563",451,3,151,1,16,141,196,"2,070",,,
Anne Arundel Precinct 02-002,02-002,Adj,"1,975","1,264",553,12,134,2,10,122,183,"1,769",,,
Anne Arundel Precinct 02-003,02-003,Adj,"2,276","1,653",432,9,148,12,22,211,650,"2,380",,,
Anne Arundel Precinct 02-004,02-004,Adj,"2,765","1,699",833,2,196,10,25,193,196,"2,595",,,
Anne Arundel Precinct 02-005,02-005,Adj,"3,210","1,853","1,169",10,144,2,32,210,677,"3,217",,,
Anne Arundel Precinct 02-006,02-006,Adj,"2,191","1,614",402,9,147,5,14,194,427,"2,201",,,
Anne Arundel Precinct 02-007,02-007,Adj,"3,623","2,318","1,022",14,238,3,28,225,542,"3,461",,,
Anne Arundel Precinct 02-008,02-008,Adj,"3,146","2,539",461,18,105,3,20,243,556,"3,146",,,
Anne Arundel Precinct 02-009,02-009,Adj,"3,270","1,480","1,315",14,417,0,44,203,474,"3,033",,,
Anne Arundel Precinct 02-010,02-010,Adj,"2,933","2,456",381,13,63,0,20,193,290,"2,785",,,
Anne Arundel Precinct 02-011,02-011,Adj,"1,744","1,336",314,5,78,0,11,161,520,"1,866",,,
Anne Arundel Precinct 02-012,02-012,Adj,"2,082","1,709",274,16,76,1,6,132,425,"2,057",,,
Anne Arundel Precinct 02-013,02-013,Adj,"2,182","1,698",397,3,74,6,4,138,163,"1,951",,,
Anne Arundel Precinct 02-014,02-014,Adj,"4,825","1,532","3,065",19,159,5,45,264,625,"4,406",,,
Anne Arundel Precinct 02-015,02-015,Adj,"2,929","1,546","1,195",4,171,0,13,186,283,"2,549",,,
Anne Arundel Precinct 02-016,02-016,Adj,"1,781","1,471",199,1,90,5,15,115,268,"1,783",,,
Anne Arundel Precinct 02-017,02-017,Adj,"4,074","1,478","2,260",7,284,6,39,307,709,"3,820",,,
Anne Arundel Precinct 02-018,02-018,Adj,"2,168","1,253",743,2,138,1,31,155,277,"1,994",,,
Anne Arundel Precinct 02-019,02-019,Adj,"3,468","1,742","1,393",30,281,2,20,243,758,"3,579",,,
Anne Arundel Precinct 02-020,02-020,Adj,"2,691","1,830",614,5,224,4,14,169,228,"2,479",,,
Anne Arundel Precinct 02-021,02-021,Adj,"3,763","2,811",579,10,328,0,35,249,288,"3,403",,,
Anne Arundel Precinct 02-022,02-022,Adj,"3,279","2,845",359,14,50,1,10,198,267,"3,074",,,
Anne Arundel Precinct 02-023,02-023,Adj,"3,306","2,260",728,17,277,0,24,312,455,"2,997",,,
Anne Arundel Precinct 02-024,02-024,Adj,"2,543","1,780",535,16,199,3,10,220,266,"2,244",,,
Anne Arundel Precinct 03-001,03-001,Adj,"2,390","2,137",178,18,52,0,5,115,113,"2,086",,,
Anne Arundel Precinct 03-002,03-002,Adj,"1,897","1,801",51,2,32,0,11,94,55,"1,664",,,
Anne Arundel Precinct 03-003,03-003,Adj,"3,908","3,498",255,13,107,1,34,301,413,"3,518",,,
Anne Arundel Precinct 03-004,03-004,Adj,"3,763","3,076",504,12,145,1,25,273,361,"3,372",,,
Anne Arundel Precinct 03-005,03-005,Adj,"4,068","3,235",640,5,166,3,19,257,276,"3,606",,,
Anne Arundel Precinct 03-006,03-006,Adj,"11,218","6,649","3,595",28,823,19,104,745,"1,033","9,953",,,
Anne Arundel Precinct 03-007,03-007,Adj,"2,758","2,443",230,9,55,4,17,237,127,"2,348",,,
Anne Arundel Precinct 03-008,03-008,Adj,"3,421","2,367",860,16,159,0,19,229,533,"3,333",,,
Anne Arundel Precinct 03-009,03-009,Adj,"1,288","1,184",66,6,23,0,9,94,68,"1,116",,,
Anne Arundel Precinct 03-010,03-010,Adj,"2,702","2,624",41,2,20,0,15,123,133,"2,298",,,
Anne Arundel Precinct 03-011,03-011,Adj,"2,552","2,486",22,3,35,2,4,129,39,"2,223",,,
Anne Arundel Precinct 03-012,03-012,Unadj,"2,595","2,495",44,10,40,1,5,124,77,"2,262",,,
Anne Arundel Precinct 03-013,03-013,Adj,"2,606","2,545",22,5,24,1,9,112,89,"2,262",,,
Anne Arundel Precinct 03-014,03-014,Adj,"2,119","1,979",76,5,37,1,21,110,111,"1,846",,,
Anne Arundel Precinct 03-015,03-015,Adj,"1,777","1,721",18,2,21,3,12,96,61,"1,525",,,
Anne Arundel Precinct 03-016,03-016,Adj,"2,692","2,428",170,16,68,0,10,182,173,"2,350",,,
Anne Arundel Precinct 03-017,03-017,Adj,"2,402","2,310",47,7,28,0,10,114,91,"2,086",,,
Anne Arundel Precinct 03-018,03-018,Adj,"3,210","2,882",188,5,99,2,34,200,201,"2,814",,,
Anne Arundel Precinct 03-019,03-019,Adj,"2,494","2,386",48,6,43,1,10,141,76,"2,112",,,
Anne Arundel Precinct 03-020,03-020,Adj,"2,099","1,972",50,8,61,0,8,88,69,"1,830",,,
Anne Arundel Precinct 03-021,03-021,Adj,"3,295","2,895",294,3,85,0,18,217,157,"2,765",,,
Anne Arundel Precinct 03-022,03-022,Adj,"2,051","1,715",277,1,49,4,5,102,86,"1,813",,,
Anne Arundel Precinct 03-023,03-023,Adj,"2,023","1,917",54,9,31,2,10,109,74,"1,755",,,
Anne Arundel Precinct 03-024,03-024,Adj,"3,214","2,842",287,5,66,5,9,184,205,"2,846",,,
Anne Arundel Precinct 03-025,03-025,Adj,"2,432","1,227","1,010",4,170,3,18,187,429,"2,316",,,
Anne Arundel Precinct 04-001,04-001,Adj,"2,594",860,"1,522",9,175,0,28,175,"1,062","2,894",,,
Anne Arundel Precinct 04-002,04-002,Adj,"3,462","2,081","1,153",10,186,5,27,265,357,"3,256",,,
Anne Arundel Precinct 04-003,04-003,Adj,"2,320","1,806",320,2,173,0,19,217,259,"2,065",,,
Anne Arundel Precinct 04-004,04-004,Adj,"2,488","2,211",155,11,90,1,20,203,148,"2,197",,,
Anne Arundel Precinct 04-005,04-005,Adj,"1,846","1,339",340,4,137,2,24,155,176,"1,564",,,
Anne Arundel Precinct 04-006,04-006,Adj,"4,532",777,"3,433",7,280,1,34,199,359,"4,035",,,
Anne Arundel Precinct 04-007,04-007,Unadj,"7,810","4,591","2,660",34,409,40,76,844,"1,632","7,062",,,
Anne Arundel Precinct 04-008,04-008,Adj,"2,317","1,934",242,6,115,0,20,158,176,"2,095",,,
Anne Arundel Precinct 04-009,04-009,Adj,"4,199",971,"2,626",4,567,3,28,245,388,"3,674",,,
Anne Arundel Precinct 04-010,04-010,Unadj,"1,602","1,177",323,3,88,0,11,56,85,"1,486",,,
Anne Arundel Precinct 04-011,04-011,Adj,"2,241","1,358",715,1,135,6,26,193,325,"2,031",,,
Anne Arundel Precinct 04-012,04-012,Adj,"2,418","1,699",516,12,171,6,14,192,249,"2,250",,,
Anne Arundel Precinct 04-013,04-013,Adj,"2,075","1,779",194,1,88,0,13,136,149,"1,860",,,
Anne Arundel Precinct 04-014,04-014,Unadj,"2,138","2,024",77,3,30,0,4,100,107,"1,910",,,
Anne Arundel Precinct 04-015,04-015,Adj,"3,194","2,967",124,5,67,2,29,232,139,"2,853",,,
Anne Arundel Precinct 04-016,04-016,Adj,"2,708","1,848",664,8,166,2,20,228,262,"2,505",,,
Anne Arundel Precinct 04-017,04-017,Adj,"2,650",967,"1,374",9,190,1,109,169,"1,815","3,269",,,
Anne Arundel Precinct 04-018,04-018,Adj,"3,462","2,068","1,057",14,276,9,38,270,281,"3,100",,,
Anne Arundel Precinct 04-019,04-019,Adj,"2,716",717,"1,842",6,123,8,20,200,228,"2,379",,,
Anne Arundel Precinct 04-020,04-020,Adj,"2,480","1,750",510,4,207,2,7,170,188,"2,272",,,
Anne Arundel Precinct 04-021,04-021,Adj,"4,217","2,764",888,8,528,9,20,310,407,"3,446",,,
Anne Arundel Precinct 04-022,04-022,Adj,"2,767","1,516",895,1,336,1,18,206,343,"2,396",,,
Anne Arundel Precinct 04-023,04-023,Adj,"4,296","2,993",883,15,378,2,25,384,330,"3,584",,,
Anne Arundel Precinct 04-024,04-024,Adj,"3,305","1,068","1,986",3,222,5,21,214,378,"3,029",,,
Anne Arundel Precinct 04-025,04-025,Adj,334,174,130,2,23,0,5,24,361,477,,,
Anne Arundel Precinct 04-026,04-026,Adj,"1,443",767,504,6,140,5,21,106,143,"1,456",,,
Anne Arundel Precinct 04-099,04-099,Unadj,2,1,0,1,0,0,0,1,3,3,,,
Anne Arundel Precinct 05-001,05-001,Adj,"2,539","2,409",86,0,34,0,10,136,149,"2,202",,,
Anne Arundel Precinct 05-002,05-002,Adj,"2,804","2,453",264,1,60,2,24,148,337,"2,508",,,
Anne Arundel Precinct 05-003,05-003,Unadj,"2,636","2,325",142,6,152,1,10,161,160,"2,186",,,
Anne Arundel Precinct 05-004,05-004,Adj,"2,493","2,305",91,5,74,2,16,175,207,"2,169",,,
Anne Arundel Precinct 05-005,05-005,Adj,"2,306","2,079",149,0,71,1,6,91,112,"1,904",,,
Anne Arundel Precinct 05-006,05-006,Unadj,"1,940","1,902",5,0,27,0,6,96,73,"1,504",,,
Anne Arundel Precinct 05-007,05-007,Adj,"2,038","1,917",33,3,75,1,9,133,76,"1,590",,,
Anne Arundel Precinct 05-008,05-008,Adj,"2,736","2,443",142,2,128,0,21,151,152,"2,235",,,
Anne Arundel Precinct 05-009,05-009,Adj,"1,499","1,457",10,2,25,0,5,86,35,"1,180",,,
Anne Arundel Precinct 05-010,05-010,Adj,"1,195","1,145",9,2,39,0,0,46,53,989,,,
Anne Arundel Precinct 05-011,05-011,Adj,"2,120","1,944",110,3,50,2,11,129,114,"1,830",,,
Anne Arundel Precinct 05-012,05-012,Unadj,"1,979","1,747",71,0,147,1,13,131,126,"1,604",,,
Anne Arundel Precinct 05-013,05-013,Unadj,"2,120","2,038",32,3,38,0,9,120,83,"1,743",,,
Anne Arundel Precinct 05-014,05-014,Adj,"2,378","2,204",83,0,84,0,7,147,123,"1,985",,,
Anne Arundel Precinct 05-015,05-015,Unadj,"1,240","1,160",9,0,70,0,1,57,16,954,,,
Anne Arundel Precinct 05-016,05-016,Adj,"1,657","1,549",27,1,80,0,0,75,105,"1,463",,,
Anne Arundel Precinct 05-017,05-017,Adj,"2,549","2,427",59,3,52,2,6,157,160,"2,152",,,
Anne Arundel Precinct 05-018,05-018,Adj,"2,404","2,097",199,8,89,6,5,174,190,"2,102",,,
Anne Arundel Precinct 05-019,05-019,Unadj,"1,924","1,844",31,0,42,0,7,120,62,"1,588",,,
Anne Arundel Precinct 05-020,05-020,Adj,"2,447","2,062",314,1,65,1,4,133,154,"2,028",,,
Anne Arundel Precinct 05-021,05-021,Adj,"3,394","2,928",269,0,173,6,18,210,302,"2,849",,,
Anne Arundel Precinct 05-022,05-022,Adj,"2,586","2,408",72,4,75,4,23,195,182,"2,190",,,
Anne Arundel Precinct 05-023,05-023,Unadj,"1,585","1,496",24,2,48,2,13,89,68,"1,362",,,
Anne Arundel Precinct 05-024,05-024,Unadj,"1,926","1,879",19,1,23,0,4,74,84,"1,519",,,
Anne Arundel Precinct 05-025,05-025,Adj,"2,361","2,252",23,3,78,0,5,146,85,"1,927",,,
Anne Arundel Precinct 05-026,05-026,Adj,"4,346","3,824",360,9,132,2,19,246,290,"3,630",,,
Anne Arundel Precinct 05-027,05-027,Adj,"2,278","2,083",103,1,81,0,10,150,147,"1,993",,,
Anne Arundel Precinct 05-028,05-028,Adj,"1,160",975,129,0,49,1,6,80,99,"1,003",,,
Anne Arundel Precinct 05-029,05-029,Adj,"1,033",975,32,0,24,0,2,36,31,892,,,
Anne Arundel Precinct 05-030,05-030,Adj,"1,383","1,120",97,0,143,0,23,96,73,"1,128",,,
Anne Arundel Precinct 05-031,05-031,Adj,726,542,154,0,26,0,4,46,34,604,,,
Anne Arundel Precinct 05-032,05-032,Adj,"1,107",789,204,0,108,0,6,58,42,865,,,
Anne Arundel Precinct 05-033,05-033,Adj,"2,181","1,902",111,1,157,3,7,73,75,"1,760",,,
Anne Arundel Precinct 05-034,05-034,Unadj,"1,532","1,413",63,1,46,0,9,74,71,"1,187",,,
Anne Arundel Precinct 05-035,05-035,Unadj,228,199,21,0,8,0,0,7,21,181,,,
Anne Arundel Precinct 06-001,06-001,Adj,"2,661","2,441",158,2,53,0,7,107,264,"2,613",,,
Anne Arundel Precinct 06-002,06-002,Adj,"2,093","1,972",66,8,38,1,8,104,218,"1,909",,,
Anne Arundel Precinct 06-003,06-003,Adj,"1,664",566,"1,006",3,76,0,13,85,"1,233","2,326",,,
Anne Arundel Precinct 06-004,06-004,Adj,941,530,345,1,61,0,4,46,362,"1,106",,,
Anne Arundel Precinct 06-005,06-005,Adj,"1,668","1,461",151,4,43,0,9,90,182,"1,478",,,
Anne Arundel Precinct 06-006,06-006,Adj,"1,627",405,"1,150",3,50,3,16,100,"1,372","2,010",,,
Anne Arundel Precinct 06-007,06-007,Adj,"1,218",870,302,1,40,1,4,65,569,"1,459",,,
Anne Arundel Precinct 06-008,06-008,Adj,"1,866","1,624",183,3,41,2,13,113,416,"2,002",,,
Anne Arundel Precinct 06-009,06-009,Adj,"1,937","1,817",54,0,51,1,14,82,113,"1,751",,,
Anne Arundel Precinct 06-010,06-010,Adj,"2,021","1,686",247,3,73,1,11,90,201,"2,067",,,
Anne Arundel Precinct 06-011,06-011,Adj,"1,888","1,642",143,2,91,5,5,88,134,"1,906",,,
Anne Arundel Precinct 06-012,06-012,Adj,"2,913","1,799","1,014",1,76,1,22,89,344,"2,474",,,
Anne Arundel Precinct 06-013,06-013,Adj,"1,465",723,695,1,42,0,4,52,694,"1,553",,,
Anne Arundel Precinct 06-014,06-014,Adj,"2,875",809,"1,918",7,118,2,21,115,940,"2,724",,,
Anne Arundel Precinct 06-015,06-015,Adj,"1,729","1,134",460,2,122,0,11,95,"1,531","2,513",,,
Anne Arundel Precinct 06-016,06-016,Adj,"1,513",734,745,4,25,1,4,24,342,"1,448",,,
Anne Arundel Precinct 06-017,06-017,Adj,"2,236","1,725",417,3,74,2,15,116,493,"2,501",,,
Anne Arundel Precinct 06-018,06-018,Adj,"2,235","2,028",136,4,64,0,3,89,296,"2,359",,,
Anne Arundel Precinct 06-019,06-019,Adj,"3,019","2,733",183,3,91,0,9,96,169,"3,024",,,
Anne Arundel Precinct 06-020,06-020,Adj,"1,420","1,374",35,0,6,0,5,21,21,"1,442",,,
Anne Arundel Precinct 06-021,06-021,Unadj,"1,039",907,50,4,72,0,6,57,79,936,,,
Anne Arundel Precinct 06-022,06-022,Adj,"3,111","2,425",501,8,158,4,15,165,313,"3,146",,,
Anne Arundel Precinct 06-023,06-023,Adj,"1,820","1,714",73,0,24,0,9,86,132,"1,608",,,
Anne Arundel Precinct 06-024,06-024,Unadj,"1,917","1,464",401,0,41,0,11,94,104,"1,752",,,
Anne Arundel Precinct 06-025,06-025,Unadj,"1,793","1,735",25,3,25,1,4,36,44,"1,488",,,
Anne Arundel Precinct 06-026,06-026,Adj,"3,410","3,092",195,10,96,0,17,165,177,"3,255",,,
Anne Arundel Precinct 06-027,06-027,Adj,"1,129","1,035",55,2,24,0,13,72,285,"1,185",,,
Anne Arundel Precinct 06-028,06-028,Adj,"1,917","1,611",236,6,54,0,10,111,173,"1,761",,,
Anne Arundel Precinct 06-029,06-029,Adj,"1,288","1,190",74,6,17,1,0,56,56,"1,143",,,
Anne Arundel Precinct 06-030,06-030,Adj,"2,047","1,863",132,0,41,1,10,92,83,"1,862",,,
Anne Arundel Precinct 06-031,06-031,Unadj,"1,560","1,489",35,3,30,0,3,78,71,"1,394",,,
Anne Arundel Precinct 06-032,06-032,Unadj,"1,998","1,861",53,1,71,1,11,76,72,"1,795",,,
Anne Arundel Precinct 07-001,07-001,Adj,"3,316","3,124",125,11,42,0,14,176,125,"2,959",,,
Anne Arundel Precinct 07-002,07-002,Adj,"3,076","2,824",208,7,24,0,13,169,148,"2,739",,,
Anne Arundel Precinct 07-003,07-003,Adj,"2,153","1,828",286,8,19,2,10,140,102,"1,949",,,
Anne Arundel Precinct 07-004,07-004,Adj,"2,005","1,817",166,1,11,2,8,89,108,"1,771",,,
Anne Arundel Precinct 07-005,07-005,Adj,"4,313","4,058",116,9,96,2,32,253,740,"4,181",,,
Anne Arundel Precinct 07-006,07-006,Adj,"3,786","3,631",81,4,56,0,14,178,262,"3,305",,,
Anne Arundel Precinct 07-007,07-007,Adj,"2,688","2,496",125,7,54,1,5,134,147,"2,374",,,
Anne Arundel Precinct 07-008,07-008,Adj,"2,551","2,126",360,19,28,3,15,156,219,"2,327",,,
Anne Arundel Precinct 07-009,07-009,Adj,"3,288","2,494",704,23,44,2,21,266,"1,214","3,569",,,
Anne Arundel Precinct 07-010,07-010,Adj,"2,837","2,741",45,2,34,1,14,158,145,"2,404",,,
Anne Arundel Precinct 07-011,07-011,Adj,"1,003",911,48,0,25,1,18,31,40,795,,,
Anne Arundel Precinct 07-012,07-012,Adj,"1,414","1,361",12,3,30,1,7,97,108,"1,297",,,
Anne Arundel Precinct 07-013,07-013,Unadj,"2,556","2,294",136,2,113,0,11,133,131,"2,209",,,
Anne Arundel Precinct 07-014,07-014,Unadj,"1,966","1,681",167,0,99,0,19,126,150,"1,587",,,
Anne Arundel Precinct 07-015,07-015,Unadj,"2,523","2,174",183,3,148,0,15,163,167,"2,124",,,
Anne Arundel Precinct 07-016,07-016,Unadj,"2,773","1,994",617,2,145,0,15,150,170,"2,341",,,
Anne Arundel Precinct 07-017,07-017,Adj,"1,657","1,320",233,6,89,0,9,108,139,"1,441",,,
Anne Arundel Precinct 07-018,07-018,Adj,"2,716","2,048",439,4,213,0,12,222,198,"2,238",,,
Anne Arundel Precinct 07-019,07-019,Adj,"1,687","1,584",35,5,40,0,23,109,92,"1,439",,,
Anne Arundel Precinct 07-020,07-020,Adj,"2,261","1,659",487,5,99,0,11,189,194,"1,983",,,
Anne Arundel Precinct 07-021,07-021,Adj,"2,891","2,566",288,2,26,0,9,92,143,"2,515",,,
Anne Arundel Precinct 07-022,07-022,Unadj,"2,767","2,618",72,4,66,0,7,138,131,"2,295",,,
Anne Arundel Precinct 07-023,07-023,Adj,"3,340","3,137",105,2,74,1,21,177,197,"2,867",,,
Anne Arundel Precinct 07-024,07-024,Unadj,"2,875","2,342",317,0,191,3,22,222,278,"2,427",,,
Anne Arundel Precinct 07-025,07-025,Adj,"2,667","2,408",224,4,21,1,9,186,101,"2,343",,,
Anne Arundel Precinct 07-026,07-026,Unadj,"2,432","2,142",114,1,153,1,21,201,199,"2,075",,,
Anne Arundel Precinct 07-027,07-027,Unadj,"3,685","3,208",293,4,159,0,21,160,276,"3,133",,,
Baltimore County  Precinct 01-001,01-001,Adj,"5,422",733,"4,402",17,225,1,44,210,636,"4,866",,,
Baltimore County  Precinct 01-002,01-002,Adj,"2,917",329,"1,897",5,652,1,33,148,343,"2,535",,,
Baltimore County  Precinct 01-003,01-003,Adj,"4,259","1,342","1,618",6,"1,267",2,24,173,218,"3,806",,,
Baltimore County  Precinct 01-004,01-004,Adj,"5,019","1,356","2,091",6,"1,528",1,37,252,486,"4,627",,,
Baltimore County  Precinct 01-005,01-005,Adj,"4,872","1,141","2,917",12,752,3,47,225,810,"4,710",,,
Baltimore County  Precinct 01-006,01-006,Adj,"4,831",519,"4,185",16,66,0,45,153,240,"4,114",,,
Baltimore County  Precinct 01-007,01-007,Adj,"3,031","1,234","1,349",2,422,0,24,156,188,"2,605",,,
Baltimore County  Precinct 01-008,01-008,Adj,"5,210","3,653","1,138",16,354,3,46,376,302,"4,431",,,
Baltimore County  Precinct 01-009,01-009,Adj,"3,555","1,660","1,149",7,709,5,25,210,455,"3,256",,,
Baltimore County  Precinct 01-010,01-010,Adj,"3,744","2,990",482,11,237,1,23,160,305,"3,254",,,
Baltimore County  Precinct 01-011,01-011,Adj,"3,160","2,558",237,8,332,0,25,199,173,"2,726",,,
Baltimore County  Precinct 01-012,01-012,Adj,"4,111","3,833",135,7,111,0,25,177,149,"3,542",,,
Baltimore County  Precinct 01-013,01-013,Unadj,"3,509","3,309",66,0,104,2,28,158,116,"2,834",,,
Baltimore County  Precinct 01-014,01-014,Unadj,"6,548","4,376","1,072",4,"1,054",4,38,419,324,"6,702",,,
Baltimore County  Precinct 01-015,01-015,Adj,"4,494","2,895",895,10,681,0,13,222,235,"3,866",,,
Baltimore County  Precinct 01-016,01-016,Unadj,"2,923","2,654",142,4,119,0,4,68,88,"2,907",,,
Baltimore County  Precinct 01-017,01-017,Adj,"7,097",716,"4,635",16,"1,672",0,58,194,617,"5,780",,,
Baltimore County  Precinct 02-001,02-001,Adj,"1,912",71,"1,828",4,6,0,3,58,50,"1,665",,,
Baltimore County  Precinct 02-002,02-002,Adj,"4,850",134,"4,624",9,44,0,39,137,308,"4,103",,,
